source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,breached_legs,breached_trips,sla_breach_contribution_pct,is_chronic_delay,source_name,destination_name,corridor,corridor_score
IND000000ACB,IND562132AAA,66,66,1.658670520231214,1.0,2861.5,1731.5,2278.8662,76332.0,193.0,0.12309149097933272,66,66,2.9120524453274856,True,Gurgaon_Bilaspur_HB (Haryana),Bangalore_Nelmngla_H (Karnataka),IND000000ACB → IND562132AAA,0.834632333399774
IND000000ACB,IND712311AAA,48,48,1.8436002130303568,1.0,2059.0,1106.5,1557.78415,49856.0,226.5,0.14433756729740646,48,48,1.9019976774386513,True,Gurgaon_Bilaspur_HB (Haryana),Kolkata_Dankuni_HB (West Bengal),IND000000ACB → IND712311AAA,0.6096943980170391
IND562132AAA,IND000000ACB,44,44,1.5691081905863369,1.0,2786.0,1793.0,2318.90485,44531.0,311.5,0.15075567228888181,44,44,1.6988498590745464,True,Bangalore_Nelmngla_H (Karnataka),Gurgaon_Bilaspur_HB (Haryana),IND562132AAA → IND000000ACB,0.5518560409446917
IND000000ACB,IND501359AAE,29,29,1.7863599013968776,1.0,2229.0,1258.0,1691.1569,29767.0,247.0,0.18569533817705186,29,29,1.135605842111608,True,Gurgaon_Bilaspur_HB (Haryana),Hyderabad_Shamshbd_H (Telangana),IND000000ACB → IND501359AAE,0.4242329736489621
IND000000ACB,IND421302AAG,33,33,1.7536496350364963,1.0,1858.0,1059.0,1393.77,27724.0,256.0,0.17407765595569785,33,33,1.0576657495448725,True,Gurgaon_Bilaspur_HB (Haryana),Bhiwandi_Mankoli_HB (Maharashtra),IND000000ACB → IND421302AAG,0.4122385784487306
IND781018AAB,IND110037AAM,17,17,2.0,1.0,3347.0,1684.0,2313.7947,28774.0,169.0,0.24253562503633297,17,17,1.09772306584202,True,Guwahati_Hub (Assam),Delhi_Airport_H (Delhi),IND781018AAB → IND110037AAM,0.408715359581646
IND562132AAA,IND560300AAA,151,151,1.7142857142857142,0.9271523178807947,83.0,51.0,42.6567,5551.0,83.0,0.08137884587711594,140,140,0.2117696788242529,True,Bangalore_Nelmngla_H (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),IND562132AAA → IND560300AAA,0.38647146105772834
IND000000ACB,IND160002AAC,58,58,2.1404506650784194,1.0,467.5,218.5,293.31785,17797.0,354.5,0.13130643285972254,58,58,0.678952436324127,True,Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab),IND000000ACB → IND160002AAC,0.3825469402210361
IND411033AAA,IND421302AAG,107,107,1.7241379310344827,1.0,201.0,116.0,133.5104,11063.0,98.0,0.09667364890456635,107,107,0.42205151447175465,True,Pune_Tathawde_H (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA → IND421302AAG,0.37879828165377816
IND421302AAG,IND000000ACB,26,26,1.829527100215266,1.0,1935.5,1042.0,1413.37685,23713.0,220.0,0.19611613513818404,26,26,0.9046468012897694,True,Bhiwandi_Mankoli_HB (Maharashtra),Gurgaon_Bilaspur_HB (Haryana),IND421302AAG → IND000000ACB,0.3743207058459396
