source_center,destination_center,route_type,time_bucket,edge_observations,unique_trips,median_delay_ratio,median_actual_minutes,median_osrm_minutes,breach_rate,excess_minutes,fallback_delay_ratio,delay_ratio_weight
IND000000AAL,IND411033AAA,Carting,afternoon,10,10,2.602564102564102,76.0,29.5,1.0,679.0,2.234668335419274,2.357300257800883
IND000000AAL,IND411033AAA,Carting,evening,5,5,2.6551724137931036,77.0,29.0,1.0,260.0,1.7540983606557377,1.9343131712832107
IND000000AAL,IND411033AAA,Carting,late_evening,1,1,1.875,45.0,24.0,1.0,21.0,1.8148148148148149,1.8176807760141094
IND000000AAL,IND411033AAA,Carting,morning,1,1,3.142857142857143,88.0,28.0,1.0,60.0,2.2,2.2448979591836737
IND000000AAL,IND411033AAA,Carting,night,1,1,1.9259259259259258,52.0,27.0,1.0,25.0,2.125,2.1155202821869485
IND000000AAQ,IND700028AAB,Carting,night,2,2,6.071428571428571,85.0,14.0,1.0,142.0,2.125,2.4837662337662336
IND000000AAS,IND783370AAC,FTL,afternoon,5,5,2.4615384615384617,64.0,29.0,1.0,180.0,1.7676767676767677,1.9064491064491065
IND000000AAS,IND783370AAC,FTL,evening,4,4,1.7166666666666668,51.5,30.0,1.0,111.0,1.7703025992499675,1.7613632771527508
IND000000AAZ,IND444203AAA,FTL,night,1,1,3.7532467532467533,289.0,77.0,1.0,212.0,1.8226866738120757,1.9146181061661083
IND000000AAZ,IND444303AAA,FTL,morning,1,1,2.3529411764705883,160.0,68.0,1.0,92.0,1.8750586854460094,1.897814994542418
IND000000ABA,IND683565AAA,Carting,night,7,7,1.0952380952380953,22.0,21.0,0.42857142857142855,91.0,2.125,1.858024691358025
IND000000ABD,IND562132AAA,FTL,morning,1,1,1.56,624.0,400.0,1.0,224.0,1.8750586854460094,1.8600558909009617
IND000000ABD,IND562132AAA,FTL,night,11,11,1.5631313131313131,632.0,404.0,1.0,2782.0,1.8226866738120757,1.7305863845382568
IND000000ABG,IND501359AAF,Carting,afternoon,11,11,5.470588235294118,189.0,34.0,1.0,1848.0,2.234668335419274,3.3828979773103476
IND000000ACA,IND140406AAA,FTL,late_evening,2,2,1.78003003003003,65.0,36.5,1.0,57.0,1.8333333333333333,1.8284875784875785
IND000000ACA,IND142001AAB,FTL,afternoon,9,9,1.603448275862069,98.0,58.0,1.0,321.0,1.7676767676767677,1.7167093046997923
IND000000ACA,IND142401AAA,FTL,late_evening,11,11,2.111111111111111,42.0,19.0,0.9090909090909091,338.0,1.8333333333333333,1.9318996415770608
IND000000ACA,IND142401AAA,FTL,night,1,1,1.6842105263157894,32.0,19.0,1.0,13.0,1.8226866738120757,1.8160925715503478
IND000000ACA,IND143001AAA,FTL,afternoon,1,1,1.7339449541284404,189.0,109.0,1.0,80.0,1.7676767676767677,1.766070490841133
IND000000ACA,IND144001AAB,FTL,afternoon,16,16,1.645235892691952,80.5,48.0,1.0,594.0,1.7676767676767677,1.7132586010168496
IND000000ACA,IND144001AAB,FTL,evening,1,1,1.3859649122807018,79.0,57.0,1.0,22.0,1.7703025992499675,1.7520008046323834
IND000000ACA,IND144514AAA,FTL,late_evening,12,12,1.7348484848484849,114.5,66.0,0.8333333333333334,802.0,1.8333333333333333,1.7964015151515151
IND000000ACA,IND147301AAA,FTL,late_evening,3,3,1.7307692307692308,46.0,27.0,1.0,119.0,1.8333333333333333,1.8199554069119286
IND000000ACA,IND152026AAA,FTL,afternoon,1,1,1.5565217391304347,179.0,115.0,1.0,64.0,1.7676767676767677,1.7576217663174185
IND000000ACA,IND160002AAC,Carting,morning,1,1,1.4444444444444444,130.0,90.0,1.0,40.0,2.2,2.1640211640211637
IND000000ACA,IND160002AAC,FTL,afternoon,12,12,2.3656571269797166,148.5,61.0,1.0,1050.0,1.7676767676767677,1.9919194024153737
IND000000ACA,IND160002AAC,FTL,evening,12,12,1.9840031729243786,127.5,69.0,1.0,818.0,1.7703025992499675,1.8504403143778716
IND000000ACA,IND160002AAC,FTL,morning,21,21,1.9666666666666666,121.0,61.0,1.0,1408.0,1.8750586854460094,1.921979846559029
IND000000ACA,IND160002AAC,FTL,night,25,25,2.129032258064516,128.0,61.0,1.0,1781.0,1.8226866738120757,1.9928786650634316
IND000000ACB,IND000000AEL,Carting,afternoon,2,2,1.8629128058921358,121.0,65.0,1.0,112.0,2.234668335419274,2.200872378189534
IND000000ACB,IND000000AEL,Carting,evening,3,3,1.8421052631578947,120.0,59.0,1.0,158.0,1.7540983606557377,1.7655775218516712
IND000000ACB,IND000000AEL,Carting,late_evening,13,13,1.4833333333333334,95.0,62.0,1.0,714.0,1.8148148148148149,1.6842312008978677
IND000000ACB,IND000000AEL,Carting,night,5,5,3.096774193548387,236.0,62.0,1.0,720.0,2.125,2.3193548387096774
IND000000ACB,IND110024AAA,Carting,afternoon,6,6,1.9862261806130903,138.0,67.0,1.0,406.0,2.234668335419274,2.177335530464001
IND000000ACB,IND110030AAD,Carting,afternoon,21,21,1.6382978723404256,79.0,48.0,0.9523809523809523,814.0,2.234668335419274,1.929210293354498
