feature,importance_mean,importance_std
edge_eta_prior,0.7529043125232087,0.008365601071798607
osrm_distance_km,0.14331869012859522,0.0019049758981946451
destination_hub_delay_mean,0.026922148206330293,0.001097591537421356
segment_count,0.02416046232292314,0.001260908241845185
edge_delay_ratio_max,0.01740234081998876,0.0005404057117469605
edge_delay_ratio_mean,0.013875202380673413,0.0007748908058627139
source_hub_delay_mean,0.013670975092766657,0.0006224796588842827
osrm_minutes,0.008924060836517062,0.0006682130971399648
destination_in_volume_mean,0.006479429162475507,0.0008730636264941492
hour_cos,0.0062194812468675115,0.0004138028012684868
destination_pagerank_mean,0.006176331725673334,0.0005693274882347306
structural_risk,0.006087561608035745,0.0006327667561738558
leg_count,0.005403313757973961,0.0002820129126569947
source_out_volume_mean,0.0051298542843436,0.0005719368220144171
edge_seen_share,0.004033853438016134,0.0007646667639379382
destination_betweenness_mean,0.003977641826686702,0.0004992151546256508
hour_sin,0.0036915822359831624,0.00022601461227939805
source_betweenness_mean,0.0035488781363254146,0.00045352699061867975
route_ftl,0.003484710967458074,0.00031614204751411406
destination_out_volume_mean,0.0014031655416402791,0.0004510701065852645
source_in_volume_mean,0.0011082210542154303,0.00033637079310626855
source_pagerank_mean,0.0005672946008874816,0.0006326674595918904
dow_cos,-0.0005011874250161127,0.0003707782706819532
dow_sin,-0.0010073737081989984,0.0005475503616333353
