hub,in_degree,in_volume,out_degree,out_volume,hub_delay_ratio,hub_breach_rate,betweenness,pagerank,clustering
IND000000AAL,1.0,17.0,1.0,18.0,2.6551724137931036,1.0,0.0,0.00038016587350584585,0.0
IND000000AAQ,0.0,0.0,1.0,2.0,6.071428571428571,1.0,0.0,0.00011564321245522476,0.0
IND000000AAS,1.0,8.0,1.0,9.0,2.4615384615384617,1.0,0.0032247471430447918,0.0005787655750844917,0.0
IND000000AAZ,2.0,2.0,2.0,2.0,3.3882512836001206,1.0,0.0016149276821810646,0.0004257163641764048,0.3333333333333333
IND000000ABA,1.0,16.0,1.0,7.0,1.1,0.34782608695652173,0.0004053738488258388,0.0005716572573554313,1.0
IND000000ABD,1.0,13.0,1.0,12.0,1.5319693094629157,0.76,0.00040318461111840854,0.0005623972654468791,0.0
IND000000ABG,0.0,0.0,1.0,11.0,5.470588235294118,1.0,0.0,0.00011564321245522476,0.0
IND000000ACA,13.0,134.0,9.0,128.0,1.9347517730496455,0.9083969465648855,0.012017090649036005,0.0038566317186335924,0.11666666666666667
IND000000ACB,45.0,928.0,49.0,1063.0,1.6721311475409837,0.861878453038674,0.3020144635637871,0.019287415605027516,0.03715846994535519
IND000000ACK,0.0,0.0,1.0,32.0,2.5946969696969697,1.0,0.0,0.00011564321245522476,0.0
IND000000ACN,1.0,11.0,1.0,16.0,2.3684210526315788,1.0,3.648729512383788e-07,0.00021393994304216694,0.0
IND000000ACO,1.0,1.0,0.0,0.0,1.5625,1.0,0.0,0.00033672850091986137,0.0
IND000000ACS,4.0,9.0,0.0,0.0,1.5714285714285714,0.8888888888888888,0.0,0.00040448954750544176,0.5
IND000000ACT,0.0,0.0,3.0,160.0,1.5285714285714285,0.80625,0.0,0.00011564321245522476,1.0
IND000000ADM,1.0,13.0,1.0,1.0,1.5,1.0,0.0,0.00048615462393664257,0.0
IND000000ADV,0.0,0.0,1.0,18.0,1.5510204081632653,1.0,0.0,0.00011564321245522476,0.0
IND000000AEL,1.0,23.0,1.0,17.0,1.8355440923605992,0.975,0.0,0.0004703647318139623,0.0
IND000000AEM,0.0,0.0,2.0,22.0,2.218475073313783,1.0,0.0,0.00011564321245522476,0.0
IND000000AET,1.0,4.0,1.0,8.0,2.4361702127659575,1.0,0.003226936380752222,0.0005448498383873466,0.0
IND000000AFF,1.0,3.0,1.0,3.0,3.638888888888889,1.0,3.648729512383788e-07,0.000213939943042167,0.0
IND000000AFG,0.0,0.0,2.0,4.0,2.1151711378353375,1.0,0.0,0.00011564321245522476,0.0
IND000000AFJ,1.0,1.0,2.0,21.0,1.1394230769230769,0.2727272727272727,7.297459024767576e-07,0.0001490117797888841,1.0
IND000000AFR,0.0,0.0,1.0,8.0,1.9714285714285715,1.0,0.0,0.00011564321245522476,0.0
IND000000AFS,1.0,1.0,0.0,0.0,9.416666666666666,1.0,0.0,0.00021393994304216697,0.0
IND000000AFT,5.0,172.0,8.0,84.0,2.388888888888889,0.99609375,0.0048455127924456705,0.0015940766946270204,0.07142857142857142
IND110005AAA,1.0,2.0,0.0,0.0,2.6538461538461537,1.0,0.0,0.00015174222527994952,0.0
IND110014AAA,1.0,9.0,1.0,11.0,2.5982142857142856,1.0,0.0,0.001824711515157974,0.0
IND110020AAB,1.0,9.0,1.0,4.0,3.4615384615384617,1.0,0.0,0.00027731184695731605,0.0
IND110024AAA,3.0,31.0,1.0,9.0,2.5099715099715096,1.0,0.0004061035947283156,0.0020106685914190905,0.3333333333333333
IND110030AAD,2.0,58.0,1.0,7.0,1.6785714285714286,0.9692307692307692,0.0,0.000610279365930863,1.0
IND110035AAC,1.0,36.0,1.0,3.0,2.1578947368421053,0.8974358974358975,0.0,0.0007623177504635899,0.0
IND110037AAB,1.0,11.0,0.0,0.0,3.8181818181818183,1.0,0.0,0.00016479157774869585,0.0
IND110037AAK,1.0,39.0,1.0,43.0,1.7940613026819923,1.0,0.0,0.0007171275278896059,0.0
IND110037AAM,21.0,189.0,24.0,256.0,1.9364608076009502,0.9685393258426966,0.03361246114103069,0.0054100876382393165,0.07056451612903226
IND110039AAA,1.0,4.0,1.0,3.0,2.1666666666666665,0.7142857142857143,0.0,0.00039872151532206637,0.0
IND110043AAA,3.0,32.0,2.0,38.0,1.9425465838509317,0.9142857142857143,0.001211743071062656,0.0015418005643284274,0.0
IND110043AAC,1.0,9.0,1.0,1.0,1.724972191323693,1.0,0.0,0.0002544472852477743,0.0
IND110044AAB,2.0,50.0,6.0,172.0,1.7376344086021507,0.9819819819819819,0.0027825211261438766,0.0004236006580015766,0.39285714285714285
IND110046AAA,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.00013369271886758715,0.0
IND110052AAA,1.0,2.0,1.0,10.0,1.6908730158730159,1.0,0.0,0.0001464885619646802,0.0
IND110064AAA,2.0,50.0,3.0,42.0,1.642494929006085,0.8695652173913043,0.0008114774435541545,0.0008918579639048423,0.16666666666666666
IND110064AAB,1.0,11.0,0.0,0.0,2.0,1.0,0.0,0.00016479157774869585,0.0
IND110077AAA,0.0,0.0,1.0,1.0,1.3333333333333333,1.0,0.0,0.00011564321245522476,0.0
IND110078AAA,1.0,33.0,1.0,14.0,1.9285714285714286,0.9361702127659575,0.0,0.0012537354711242492,0.0
IND110083AAA,1.0,3.0,1.0,1.0,3.4333333333333336,1.0,0.0,0.0003279519396053559,0.0
IND110085AAA,1.0,1.0,0.0,0.0,2.076923076923077,1.0,0.0,0.00018641278817193516,0.0
IND110085AAB,4.0,50.0,5.0,18.0,1.97950523654749,0.9411764705882353,0.002426405125735219,0.0014986498387066201,0.06666666666666667
IND110087AAA,1.0,3.0,0.0,0.0,2.0,0.6666666666666666,0.0,0.0003279519396053559,0.0
IND110092AAC,3.0,7.0,2.0,7.0,1.8842034805890227,1.0,0.0008085584599442474,0.00034458231604780166,0.3333333333333333
IND110093AAA,1.0,1.0,1.0,1.0,3.236111111111111,1.0,0.0,0.00015748535083246027,0.0
IND110095AAB,1.0,36.0,1.0,1.0,1.5974025974025974,0.5405405405405406,0.0,0.0006708595036254227,0.0
IND121001AAA,1.0,24.0,1.0,27.0,1.8181818181818181,0.9803921568627451,0.0,0.0005513095172996038,0.0
IND121002AAA,1.0,1.0,1.0,1.0,6.454545454545455,1.0,0.0,0.00013379597515707388,0.0
IND121002AAB,1.0,57.0,1.0,29.0,1.8881064162754302,0.9767441860465116,0.0,0.0009947356734747049,0.0
IND121004AAA,1.0,23.0,1.0,10.0,2.0,1.0,0.0,0.0005331567545977546,0.0
IND121004AAB,9.0,145.0,7.0,169.0,2.007575757575758,0.9968152866242038,0.0062163404702482595,0.003609196348955414,0.05555555555555555
IND121004AAC,1.0,9.0,1.0,6.0,2.1538461538461537,1.0,0.0,0.0002790180767718669,0.0
IND121102AAA,1.0,41.0,1.0,12.0,2.2,1.0,0.0,0.0008599064832310389,0.0
IND122001AAA,2.0,59.0,5.0,26.0,1.6756756756756757,0.8588235294117647,0.0020221258957630953,0.0011765846250605492,0.13333333333333333
IND122001AAD,1.0,3.0,1.0,10.0,1.9545454545454546,0.9230769230769231,0.0004061035947283156,0.00023103901222079254,1.0
IND122001AAJ,1.0,19.0,1.0,13.0,1.7573529411764706,0.59375,0.001212837689916371,0.0007632369630396426,0.0
IND122002AAD,0.0,0.0,1.0,2.0,2.4416475972540046,1.0,0.0,0.00011564321245522476,0.0
IND122004AAA,0.0,0.0,2.0,44.0,1.6846846846846848,0.9545454545454546,0.0,0.00011564321245522476,0.0
IND122015AAC,1.0,2.0,0.0,0.0,2.4684343434343434,1.0,0.0,0.0001464885619646802,0.0
IND122050AAA,2.0,11.0,0.0,0.0,1.9411764705882353,0.9090909090909091,0.0,0.00035049163943143616,1.0
IND122101AAC,1.0,1.0,0.0,0.0,1.375,1.0,0.0,0.00015410847904374735,0.0
IND122413AAE,1.0,43.0,0.0,0.0,1.7027027027027026,0.9534883720930233,0.0,0.00021170592643791826,0.0
IND122503AAA,1.0,2.0,1.0,2.0,2.4416475972540046,1.0,0.0004039143570208853,0.00021393994304216697,0.0
IND123001AAA,2.0,3.0,1.0,13.0,1.8210526315789473,1.0,0.0016156574280835412,0.0003142875649795996,0.3333333333333333
IND123106AAB,1.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0003659274403665426,0.0
IND123401AAB,1.0,13.0,2.0,13.0,1.8516483516483517,1.0,0.001613468190376111,0.00038278764268789,0.0
IND124001AAB,1.0,4.0,1.0,4.0,1.7841697266421868,1.0,0.0012150269276238015,0.00020492255325775757,0.0
