trip_uuid,observed_route_type,osrm_distance_km,osrm_minutes,structural_risk,ftl_predicted_eta,ftl_late_probability,ftl_transport_cost_inr,ftl_expected_total_cost_inr,carting_predicted_eta,carting_late_probability,carting_transport_cost_inr,carting_expected_total_cost_inr,recommended_route_type,recommended_expected_cost_inr,observed_expected_cost_inr,estimated_saving_vs_observed_inr,distance_band,time_bucket,structural_risk_band
trip-153851273869064323,Carting,1039.3218,836.0,0.0,1239.8531385873357,0.9948261897828422,19907.7924,22884.91177206609,1278.1275060433682,0.9977832637691237,29351.0104,32406.1570439713,FTL,22884.91177206609,32406.1570439713,9521.245271905209,600+,evening,low
trip-153836399179665403,Carting,392.947,278.0,0.2985019605215761,644.4883867143121,0.999001872407798,8273.046,10061.523709632522,580.6651188083463,0.9958905001159989,11252.516,12911.79148767469,FTL,10061.523709632522,12911.79148767469,2850.267778042169,300â€“600,night,high
trip-153833364602473905,Carting,353.4479,244.0,0.009980790552735617,663.862384774437,0.9997377187321004,7562.0622,9389.655828914923,752.4449299566262,0.9999633599413534,10146.5412,12151.412739883928,FTL,9389.655828914923,12151.412739883928,2761.756910969005,300â€“600,evening,medium
trip-153818314049194319,Carting,336.3665,298.0,0.00442352901112092,487.9559110207612,0.947687924584848,7254.597,8704.352784333945,589.3140075004187,0.9942294474081897,9668.261999999999,11344.00473870493,FTL,8704.352784333945,11344.00473870493,2639.6519543709855,300â€“600,night,low
trip-153852959775655290,Carting,334.4424,303.0,0.00442352901112092,477.77725922008113,0.9267137980205594,7219.9632,8638.874617450443,567.3041848195046,0.9893000612030688,9614.387200000001,11243.645600240545,FTL,8638.874617450443,11243.645600240545,2604.7709827901017,300â€“600,night,low
trip-153834387311147595,Carting,360.461,267.0,0.0015745376550100817,546.3127320063281,0.9934406508096293,7688.298000000001,9277.64378941747,507.7391803907584,0.9846790246535349,10342.908,11850.725873108284,FTL,9277.64378941747,11850.725873108284,2573.0820836908133,300â€“600,late_evening,low
trip-153852897617323420,Carting,348.567,271.0,0.2977420982508479,477.31061607435623,0.9670811163667453,7474.206,8912.367790332086,491.3060596548509,0.9756660001126074,10009.876,11480.321119366006,FTL,8912.367790332086,11480.321119366006,2567.9533290339205,300â€“600,night,high
trip-153851229673312406,Carting,352.2439,266.0,0.2977420982508479,428.88122521790484,0.9196322259678443,7540.3902,8857.968763419733,412.3998684382294,0.88806317039632,10112.8292,11381.660522074619,FTL,8857.968763419733,11381.660522074619,2523.691758654886,300â€“600,evening,high
trip-153835378686538044,Carting,295.3834,261.0,0.005816398545651126,447.64528971624253,0.9520141217888168,6516.9012,7888.198840326894,673.9081496641899,0.9996698841252658,8520.7352,10368.386441391012,FTL,7888.198840326894,10368.386441391012,2480.187601064118,150â€“300,night,low
trip-153835561349805173,Carting,327.9742,284.0,0.005719920820376488,491.10228053902307,0.9657775173424609,7103.5356,8568.628919749277,548.5094934355382,0.9902023477260268,9433.2776,11025.39776073409,FTL,8568.628919749277,11025.39776073409,2456.7688409848124,300â€“600,night,low
