distance_band,time_bucket,structural_risk_band,sample_trips,recommended_ftl_share,ftl_predicted_eta,carting_predicted_eta,ftl_expected_total_cost_inr,carting_expected_total_cost_inr,median_saving_vs_observed_inr,recommended_route_type
0–50,afternoon,high,70,0.0,69.08294095240765,91.65347218390906,2277.3916507203326,1783.123991032946,0.0,Carting
0–50,afternoon,low,47,0.0,49.29434284019532,66.72111856905526,2050.053743275494,1437.9713013092896,0.0,Carting
0–50,afternoon,medium,34,0.0,49.0888494732892,61.83685601987139,2091.1717277042003,1470.5899714319,0.0,Carting
0–50,evening,high,120,0.0,64.31367352312554,56.76912813148317,2244.7454664957368,1570.6343630830893,0.0,Carting
0–50,evening,low,49,0.0,42.15448817919326,48.05666821852413,1992.0507526313527,1233.4221742162827,0.0,Carting
0–50,evening,medium,96,0.0,53.339480115022944,50.30064992694412,2118.0567139729037,1422.1175913763752,0.0,Carting
0–50,late_evening,high,74,0.0,73.45669310041126,65.66125006442061,2253.715312734409,1577.7299999941533,0.0,Carting
0–50,late_evening,low,100,0.0,47.58765113436212,53.54606568121055,2004.7738769401226,1287.1361779818394,0.0,Carting
0–50,late_evening,medium,72,0.013888888888888888,59.247968847449535,52.116604774953004,2149.386658976092,1447.550860416239,0.0,Carting
0–50,morning,high,91,0.0,75.03050892863904,82.68136850722307,2282.1311070415645,1633.0196324062472,0.0,Carting
0–50,morning,low,88,0.0,42.24796203295121,44.45679248099467,1934.054675251433,1232.3818793295736,0.0,Carting
0–50,morning,medium,65,0.015384615384615385,76.98979636046273,74.25730047691442,2254.0905022400416,1617.9260772417742,0.0,Carting
0–50,night,high,113,0.0,66.60184996039497,71.26974164670548,2196.9446588091637,1523.3834488646992,0.0,Carting
0–50,night,low,125,0.0,51.412258767712366,62.54720598692968,2029.7147297263723,1376.8621620195518,0.0,Carting
0–50,night,medium,130,0.0,67.00578326206491,72.43318016400332,2222.950901202854,1553.4528174421616,0.0,Carting
150–300,afternoon,high,15,1.0,303.16014563180477,389.57410450389386,6716.213361349578,8549.350038274395,0.0,FTL
150–300,afternoon,low,11,1.0,328.0149580431748,426.28257759605555,5633.749588366913,7016.737296586954,0.0,FTL
150–300,afternoon,medium,28,1.0,372.56347517174447,389.79453856107466,6221.488769584412,7440.513633436605,0.0,FTL
150–300,evening,high,20,1.0,357.31847863587615,333.96269773849895,6869.420420146307,8341.89497801733,0.0,FTL
150–300,evening,low,34,1.0,382.2897737267576,386.5784752032781,6031.182995353416,7268.721180438104,0.0,FTL
150–300,evening,medium,57,1.0,402.68343221238877,413.3994018360334,6813.028261884479,7980.488203018137,0.0,FTL
150–300,late_evening,high,6,1.0,400.9636165129434,363.36007231504095,6875.824213470429,8307.13622013649,0.0,FTL
150–300,late_evening,low,94,1.0,366.4140538169904,370.0751252708118,6144.26575634019,7285.304798947467,0.0,FTL
150–300,late_evening,medium,64,1.0,384.9356342208546,388.9864579996623,6692.713579974281,7741.484462239434,0.0,FTL
150–300,morning,high,13,0.9230769230769231,305.54566336082127,380.2468320687431,6183.135781893881,7604.272091047896,0.0,FTL
150–300,morning,low,12,1.0,419.78480021121925,482.0645726660932,5903.055933516489,6962.15218827739,0.0,FTL
150–300,morning,medium,27,1.0,391.494734493813,374.2165576897605,6058.650210899421,7220.92435762395,0.0,FTL
150–300,night,high,13,1.0,325.7029927796393,415.77719614621674,6741.314810476153,8395.098555053708,0.0,FTL
150–300,night,low,87,1.0,384.0612394777594,365.0775404994238,6161.566015420409,7370.934189601868,0.0,FTL
150–300,night,medium,33,0.9696969696969697,369.61831029587455,376.22196804276774,6523.853601184215,7601.708730129788,0.0,FTL
300–600,afternoon,high,5,1.0,742.7728826480924,933.70291823516,13052.361894048174,17886.200864291342,0.0,FTL
300–600,afternoon,low,4,1.0,709.5110651791069,817.4134927273066,12257.30552985363,16605.904489296612,0.0,FTL
300–600,afternoon,medium,10,1.0,635.2559258945364,601.5551693658238,10169.666385265746,12802.238646949561,0.0,FTL
300–600,evening,high,13,1.0,482.1373203405837,508.15524314201343,9687.41979777735,12991.456505812956,0.0,FTL
300–600,evening,low,11,1.0,658.7434021088698,730.3894751415163,10024.957983140623,13047.921260045046,0.0,FTL
300–600,evening,medium,26,1.0,669.6839705905879,644.0536279445936,9493.627947430712,12314.375055583207,0.0,FTL
300–600,late_evening,high,4,1.0,523.0830385921711,583.778936157486,9984.420991718807,13408.817557490976,0.0,FTL
300–600,late_evening,low,12,1.0,578.8656543293131,610.7726227331806,8936.452757368661,11176.430387193137,0.0,FTL
300–600,late_evening,medium,28,1.0,597.9197660295968,709.9251228265621,10147.669527034781,13247.329478682557,0.0,FTL
300–600,morning,high,12,1.0,572.7711645286424,692.8666668720232,10342.470508925711,13689.892420340288,0.0,FTL
300–600,morning,medium,14,1.0,594.0055175031296,615.921322552696,10071.463892385102,12895.228149494298,0.0,FTL
300–600,night,high,9,1.0,576.8781130624584,630.27972755747,9013.590379903386,11714.8885898612,0.0,FTL
300–600,night,low,10,1.0,489.52909577989215,593.023924775455,8671.613700892194,11178.760129487997,1153.540896142843,FTL
300–600,night,medium,7,1.0,689.1752242690987,676.2837572820342,9747.578856348357,12477.00355128667,0.0,FTL
50–150,afternoon,high,41,0.24390243902439024,112.80280668266892,131.9356569671572,2969.5428333211244,2763.785151073552,0.0,Carting
50–150,afternoon,low,17,0.6470588235294118,151.796870799787,163.38473246164318,3837.6597530474905,3994.5599666479225,0.0,FTL
50–150,afternoon,medium,20,0.35,123.08100290328892,157.57415614096038,3136.203564333593,3049.147555722124,0.0,Carting
50–150,evening,high,49,0.10204081632653061,121.56762699843637,100.57516761201228,2999.1029687978994,2612.4689202667973,0.0,Carting
50–150,evening,low,33,0.6060606060606061,158.61047413148745,191.15819736647148,3670.5723491668577,3766.621719304968,0.0,FTL
50–150,evening,medium,33,0.24242424242424243,107.5391093255094,98.45103616514147,2728.07261548578,2294.037804724236,0.0,Carting
50–150,late_evening,high,37,0.13513513513513514,138.44352772655847,114.99794040613405,3091.009331915593,2676.4009399308616,0.0,Carting
50–150,late_evening,low,119,0.5714285714285714,181.66516181183098,193.0627213331895,3952.382127988976,4269.2375380517005,12.423435628316838,FTL
50–150,late_evening,medium,78,0.46153846153846156,164.64359881001081,160.87721011965158,3700.884848982912,3628.7222989102484,0.0,Carting
50–150,morning,high,33,0.18181818181818182,146.45388185892406,153.1673088379382,3106.9587493337895,3055.74242501931,0.0,Carting
50–150,morning,low,20,0.3,192.3356896752108,191.46595051657067,3697.8729190925897,3522.650993344204,0.7699321630550457,Carting
50–150,morning,medium,34,0.35294117647058826,135.89459428431462,138.24386509338342,3088.853270273883,2909.5895232774837,0.0,Carting
50–150,night,high,41,0.36585365853658536,146.86317387289535,151.68741392328045,3196.347986546209,2996.068387789751,0.0,Carting
50–150,night,low,113,0.5309734513274337,186.18308194120067,190.7839705443914,3638.852046849827,3661.9696575545577,0.0,FTL
50–150,night,medium,97,0.36082474226804123,162.87885026357245,162.95180268358715,3396.9376612747974,3214.143399071246,0.0,Carting
600+,afternoon,high,26,1.0,1837.8790307319296,1960.217098878045,30774.126761707335,44551.26499954672,0.0,FTL
600+,afternoon,medium,9,1.0,883.4281073645208,1057.3698195974462,16429.34713298547,22978.575749944557,0.0,FTL
600+,evening,high,59,1.0,1972.1912074710376,1977.8580162398646,34394.471680993935,48224.4098589041,0.0,FTL
600+,evening,low,2,1.0,1044.0735363112387,1142.5923246004804,18615.84315847224,26102.797673532412,4760.6226359526045,FTL
600+,evening,medium,7,1.0,906.2751135867768,906.602540214653,15633.667716967813,21415.10566908064,0.0,FTL
600+,late_evening,high,29,1.0,2040.5441700631914,2054.9566220786696,33241.81438020268,48548.4065667352,0.0,FTL
600+,late_evening,medium,6,1.0,980.5830667207731,1038.5327459706346,15669.802459598732,21528.449145009865,0.0,FTL
600+,morning,high,26,1.0,1832.4649899024419,1941.6356829847662,29542.89267834243,42211.83472998772,0.0,FTL
600+,morning,medium,5,1.0,1153.8227276697946,1195.118824501763,17724.624753180677,24228.416556695523,0.0,FTL
600+,night,high,69,1.0,1991.1871067243308,2253.9297353768093,32423.107045348985,47206.13296447164,0.0,FTL
600+,night,medium,8,1.0,945.5698244634825,1053.927483434078,16094.75079505882,22304.447701983652,0.0,FTL
